dates,green,red,nir,swir1,swir2,evi,qa
735755,1588,1947,3480,4642,3915,2209,0
735771,1450,1648,3871,4201,3065,3249,0
735803,5604,5632,6761,4851,3557,3610,4
735819,768,520,5331,2021,1015,7369,4
735835,389,193,5310,1886,757,8428,0
735851,944,886,2884,1649,880,4003,4
735915,781,974,1552,2736,2196,1126,0
735940,775,1006,1603,2917,2237,1113,0
735947,714,891,1411,2590,1965,1043,0
735995,894,1096,1754,3124,2524,1266,0
736011,882,1106,1900,3148,2352,1438,4
736030,1005,1259,2293,3748,2927,1812,0
736043,1839,2039,3740,3899,3024,2219,4
736059,1153,1397,2566,3696,2979,1962,0
736075,1006,1272,2425,3332,2304,1906,0
736090,1288,1710,2656,4038,3611,1461,0
736091,1290,1703,2609,3943,3563,1409,0
736123,1651,2066,3358,4609,4031,1860,0
736130,2669,2988,4507,4403,2973,2509,4
736170,754,565,5513,2982,1420,7735,0
736171,731,567,5124,2691,1331,7468,0
736187,637,332,6184,2379,834,9381,0
736203,554,308,5011,2034,746,7983,0
736210,614,427,4541,2344,1016,7017,0
736219,617,605,3902,2582,1356,5552,0
736230,768,956,2759,3211,2039,3125,0
736235,981,1286,2629,3464,2446,2225,0
736267,677,824,1936,2386,1656,2080,0
736280,1154,1651,2591,3956,3630,1425,0
736283,1128,1591,2492,3771,3471,1379,0
736299,848,1202,1903,2604,2054,1176,0
736300,757,1242,2107,2824,2184,1358,4
736310,154,490,1238,1808,1447,1267,4
736320,593,959,1776,2576,1882,1381,0
736379,1333,1737,2930,3928,2991,1739,4
736390,1295,1707,2813,3929,3391,1677,0
736410,684,961,2078,2549,1749,1862,0
736411,1053,1326,2523,3115,2394,1943,0
736427,1423,1757,3241,4189,3542,2205,0
736443,1112,1492,2513,3496,2816,1599,0
736459,1718,2214,3654,5163,4412,1985,0
736470,1166,1590,2644,3673,2947,1593,0
736490,1424,1894,3164,4534,3936,1832,0
736491,4825,5026,5740,5165,4387,1709,4
736507,792,898,2622,2555,1596,2914,0
736530,1067,1145,4924,3957,2483,5564,4
736535,828,728,4751,3088,1680,6456,0
736539,833,793,4670,3001,1793,6194,0
736587,631,658,3416,2522,1466,4918,0
736590,650,694,3405,2766,1582,4640,0
736603,1684,2015,4198,3935,2845,3021,4
736610,1026,1641,3545,4408,2739,2475,2
736615,730,991,1955,2935,2062,1715,0
736630,119,269,854,1294,883,1181,4
736655,1153,1641,2523,3537,3150,1328,0
736670,719,1119,1878,2620,2052,1234,0
736675,1256,1743,2575,3849,3565,1254,0
736690,1109,1591,2435,3333,2995,1259,0
736695,1445,1968,2859,4159,3933,1299,0
736705,5316,5045,5273,3616,2203,1024,4
736725,847,1283,2028,2729,2213,1159,0
736730,1157,1749,2764,3276,2737,1401,4
736755,790,1199,2065,2720,2073,1348,0
736765,6800,6951,7621,7502,6399,1515,4
736770,1165,1618,2708,3512,2881,1602,0
736775,1429,1934,3210,4379,3669,1790,0
736800,1047,1274,2692,3118,2443,2346,4
736805,1765,2327,3691,4821,4202,1813,0
736811,929,1234,2192,2746,2059,1560,0
736820,1345,1801,3039,4084,3327,1762,0
736825,1435,1929,3027,4415,3924,1594,0
736827,1472,1916,3047,4359,3847,1671,0
736830,1416,1931,3039,4433,3867,1597,0
736835,888,1052,2618,2651,1885,2681,4
736840,1524,1903,3515,4874,3871,2314,0
736850,1694,2158,3629,5015,4320,2036,0
736855,1630,2110,3582,4945,4122,2055,0
736859,1596,1975,3661,4633,3821,2398,0
736860,1627,2107,4075,5275,4245,2629,4
736875,1233,1448,3689,3848,2821,3379,0
736875,1252,1461,3793,3991,2882,3481,0
736880,988,1111,3750,3271,2152,4181,0
736885,-9999,-9999,-9999,-9999,-9999,0,255
736890,827,679,4935,2909,1408,6578,4
736891,683,534,4247,2420,1154,6283,0
736895,819,633,5163,2941,1535,7273,0
736900,748,534,5267,2669,1300,7738,0
736907,762,523,5957,2591,1115,8263,4
736910,623,383,5257,2308,935,7977,0
736925,612,437,4858,2082,814,7100,0
736939,6276,6406,8256,7066,5625,3997,4
736940,638,581,4538,2864,1511,6209,4
736950,535,540,2973,2330,1236,4437,0
736955,846,994,3009,3067,1970,3443,0
736955,826,979,3034,3215,2046,3470,4
736965,417,492,1743,2100,1255,2431,4
736970,785,1029,2406,3192,2005,2362,4
736975,953,1261,2505,3702,2571,2024,4
736987,667,853,1761,2243,1451,1656,0
736990,731,957,1905,2802,1849,1724,0
736995,811,1141,2269,3340,2212,1887,0
737005,435,783,1847,2258,1326,1773,0
